month,editors.anonymous,editors.user,editors.name-bot,editors.group-bot,editors.total,active-editors.total,edits.anonymous,edits.user,edits.name-bot,edits.group-bot,edits.total,new-reg.total,new-pages.anonymous,new-pages.user,new-pages.name-bot,new-pages.group-bot,new-pages.total,edited-pages.anonymous,edited-pages.user,edited-pages.name-bot,edited-pages.group-bot,edited-pages.total,edited-pages-conoc.non-content,edited-pages-conoc.content,edited-pages-conoc.total,pages2date.non-content,pages2date.content,pages2date.total,n_log_all,n_log_editor_ip,n_log_editor_bot,n_log_editor_user,n_log_admin_ip,n_log_admin_bot,n_log_admin_user,n_log_all_block,n_log_editor_ip_block,n_log_editor_bot_block,n_log_editor_user_block,n_log_admin_ip_block,n_log_admin_bot_block,n_log_admin_user_block,n_log_all_unblock,n_log_editor_ip_unblock,n_log_editor_bot_unblock,n_log_editor_user_unblock,n_log_admin_ip_unblock,n_log_admin_bot_unblock,n_log_admin_user_unblock,n_editor_all,n_editor_ip,n_editor_bot,n_editor_user,n_editor_all_block,n_editor_ip_block,n_editor_bot_block,n_editor_user_block,n_editor_all_unblock,n_editor_ip_unblock,n_editor_bot_unblock,n_editor_user_unblock,tag_number
2005-11-01,224673,42575,78.0,6.0,267332.0,17841,744350,1496153,111935.0,13711.0,2366149.0,80960,16209,75827,1005.0,2.0,93043.0,179429,392756,92050.0,6333.0,670568.0,118732,380601,499333,613385,774569,1387954,10379,6715,0,3664,0,0,10379,9653,6420,0,3233,0,0,9653,726,295,0,431,0,0,726,8013,5182,0,2831,7760,5172,0,2588,641,248,0,393,26
2005-12-01,264993,60852,101.0,6.0,325952.0,26329,893464,2250093,65804.0,12412.0,3221773.0,116720,6457,119553,592.0,44.0,126646.0,197331,515163,50448.0,6151.0,769093.0,162054,424547,586601,697253,817347,1514600,11880,6659,2,5219,0,0,11880,10562,6300,1,4261,0,0,10562,1318,359,1,958,0,0,1318,8415,4765,1,3649,7839,4742,1,3096,1175,293,1,881,26
2006-01-01,289251,69219,95.0,5.0,358570.0,29763,973819,2582106,96881.0,10938.0,3663744.0,123436,4493,140746,2025.0,179.0,147443.0,212627,574905,74105.0,4820.0,866457.0,192564,465263,657827,796431,865612,1662043,13968,7379,3,6586,0,0,13968,12562,6933,2,5627,0,0,12562,1406,446,1,959,0,0,1406,9713,4854,1,4858,9117,4814,1,4302,1213,357,1,855,27
2006-02-01,273564,77123,118.0,6.0,350811.0,31393,900122,2522201,113635.0,13954.0,3549912.0,140976,3858,136700,2056.0,51.0,142665.0,207637,596793,91518.0,8319.0,904267.0,234511,470280,704791,896894,907814,1804708,18117,10720,0,7397,0,0,18117,15858,9810,0,6048,0,0,15858,2259,910,0,1349,0,0,2259,12342,6915,0,5427,11378,6868,0,4510,2008,793,0,1215,27
2006-03-01,315562,92647,109.0,9.0,408327.0,36267,1014099,2753008,311715.0,17663.0,4096485.0,172842,4506,148609,3608.0,58.0,156781.0,226173,615081,237596.0,11322.0,1090172.0,257927,541607,799534,1005632,955857,1961489,19877,11149,0,8728,0,0,19877,17575,10343,0,7232,0,0,17575,2302,806,0,1496,0,0,2302,13232,7082,0,6150,12244,7041,0,5203,2057,700,0,1357,27
2006-04-01,330094,95816,119.0,11.0,426040.0,37355,1045435,2697728,185553.0,46736.0,3975452.0,169751,4092,154496,7403.0,126.0,166117.0,230797,628694,138765.0,38728.0,1036984.0,269732,513397,783129,1126555,1001051,2127606,19957,12229,0,7728,0,0,19957,17921,11585,0,6336,0,0,17921,2036,644,0,1392,0,0,2036,15361,9303,0,6058,14256,9189,0,5067,1843,554,0,1289,27
2006-05-01,377513,106939,143.0,12.0,484607.0,41526,1230952,3088984,184056.0,61329.0,4565321.0,184903,4888,159033,10557.0,142.0,174620.0,255893,677598,136170.0,46012.0,1115673.0,275472,551983,827455,1253358,1048868,2302226,23520,13150,0,10370,0,0,23520,19483,12462,0,7021,0,0,19483,4037,688,0,3349,0,0,4037,17365,8974,0,8391,14482,8873,0,5609,3667,564,0,3103,27
2006-06-01,347426,108907,166.0,12.0,456511.0,42936,1133552,3191511,167065.0,54092.0,4546220.0,172305,4430,164429,9478.0,1225.0,179562.0,251682,697848,117529.0,39532.0,1106591.0,282647,546548,829195,1383043,1098745,2481788,19184,8918,2,10264,0,0,19184,15147,8231,1,6915,0,0,15147,4037,687,1,3349,0,0,4037,14225,5890,1,8334,11389,5772,1,5616,3554,505,1,3048,27
2006-07-01,353200,116512,171.0,13.0,469896.0,45378,1145328,3330005,218253.0,56229.0,4749815.0,187956,4407,173500,10515.0,2549.0,190971.0,257601,739466,156985.0,35639.0,1189691.0,298045,585438,883483,1516292,1156467,2672759,16063,6499,0,9564,0,0,16063,13977,6045,0,7932,0,0,13977,2086,454,0,1632,0,0,2086,12743,4497,0,8246,11534,4453,0,7081,1866,363,0,1503,27
2006-08-01,388313,132081,198.0,16.0,520608.0,50354,1236060,3782441,262474.0,75279.0,5356254.0,221464,4610,288996,22418.0,665.0,316689.0,277396,943422,196314.0,50603.0,1467735.0,466362,653621,1119983,1773419,1216029,2989448,18680,6445,4,12231,0,0,18680,15598,5978,4,9616,0,0,15598,2596,467,0,2129,0,0,2596,15695,4839,1,10855,13988,4788,1,9199,2447,391,0,2056,27
2006-09-01,416145,133261,207.0,17.0,549630.0,48847,1271415,3356867,214800.0,70334.0,4913416.0,235813,4297,186510,14759.0,236.0,205802.0,283282,804169,143956.0,37826.0,1269233.0,358334,602085,960419,1930568,1264682,3195250,19756,9223,2,10531,0,0,19756,17936,8726,1,9209,0,0,17936,1820,497,1,1322,0,0,1820,16809,7171,1,9637,15889,7107,1,8781,1697,442,1,1254,27
2006-10-01,478577,143360,206.0,16.0,622159.0,51274,1457433,3573015,285258.0,64382.0,5380088.0,255645,4210,194351,26078.0,1912.0,226551.0,304342,827471,186036.0,28186.0,1346035.0,379588,629789,1009377,2110534,1311267,3421801,23226,12555,2,10669,0,0,23226,20650,11672,1,8977,0,0,20650,2079,883,1,1195,0,0,2079,19037,9865,1,9171,18221,9723,1,8497,1926,797,1,1128,27
2006-11-01,509985,156013,205.0,14.0,666217.0,54668,1531154,3676752,233019.0,74093.0,5515018.0,270413,4507,198681,22587.0,533.0,226308.0,317211,847966,160786.0,29229.0,1355192.0,380487,643720,1024207,2290337,1357772,3648109,22988,12371,2,10615,0,0,22988,21406,11698,1,9707,0,0,21406,1582,673,1,908,0,0,1582,19407,9843,1,9563,18950,9735,1,9214,1432,588,1,843,27
2006-12-01,491647,157292,236.0,15.0,649190.0,55283,1435272,3744921,278980.0,92441.0,5551614.0,236609,3878,199806,17321.0,471.0,221476.0,313546,878051,197218.0,40058.0,1428873.0,393607,668191,1061798,2466676,1402909,3869585,18241,9408,3,8830,0,0,18241,16970,8856,2,8112,0,0,16970,1271,552,1,718,0,0,1271,15730,7804,2,7924,15400,7729,2,7669,1139,482,1,656,27
2007-01-01,546826,172704,231.0,18.0,719779.0,60044,1607696,4121715,317371.0,137117.0,6183899.0,274007,4015,224577,30406.0,2843.0,261841.0,340539,950379,224313.0,49601.0,1564832.0,465382,704915,1170297,2681089,1450337,4131426,21975,11710,5,10260,0,0,21975,20255,11215,2,9038,0,0,20255,1222,495,3,724,0,0,1222,18631,9726,2,8903,18316,9692,1,8623,1116,438,2,676,35
2007-02-01,547916,176916,219.0,20.0,725071.0,59862,1590224,3959646,354312.0,197582.0,6101764.0,283207,5024,224467,25993.0,11583.0,267067.0,339820,937978,234551.0,87110.0,1599459.0,488913,692804,1181717,2902666,1495827,4398493,23348,12317,5,11026,0,0,23348,21953,11737,3,10213,0,0,21953,1395,580,2,813,0,0,1395,19994,10102,2,9890,19724,10064,2,9658,1257,519,2,736,35
2007-03-01,615583,189497,234.0,24.0,805338.0,63773,1771597,4417482,380481.0,144073.0,6713633.0,290918,4728,263550,41137.0,7014.0,316429.0,358801,1076215,256625.0,67671.0,1759312.0,599716,724625,1324341,3171927,1542995,4714922,25475,13785,6,11684,0,0,25475,24052,13143,3,10906,0,0,24052,1423,642,3,778,0,0,1423,21976,11407,2,10567,21702,11341,2,10359,1295,582,2,711,35
2007-04-01,607910,184930,244.0,26.0,793110.0,62455,1724503,4369758,355895.0,255323.0,6705479.0,274143,4465,269353,23256.0,15658.0,312732.0,359683,1136588,230195.0,154129.0,1880595.0,695214,738897,1434111,3439097,1588557,5027654,22994,12410,8,10576,0,0,22994,21602,11822,4,9776,0,0,21602,1392,588,4,800,0,0,1392,19907,10452,3,9452,19602,10376,3,9223,1249,517,3,729,35
2007-05-01,612067,179240,266.0,23.0,791596.0,60969,1742955,4273160,337915.0,215374.0,6569404.0,256134,4841,224126,23758.0,5171.0,257896.0,366616,1062921,210822.0,107946.0,1748305.0,583821,739626,1323447,3650744,1634806,5285550,29752,19179,4,10569,0,0,29752,28202,18503,2,9697,0,0,28202,1550,676,2,872,0,0,1550,26377,16980,2,9395,26070,16895,2,9173,1436,617,2,817,35
2007-06-01,514925,156342,247.0,22.0,671536.0,54375,1447007,3832869,401489.0,168264.0,5849629.0,219715,3651,192565,40646.0,5788.0,242650.0,339555,981040,255732.0,72797.0,1649124.0,530662,729791,1260453,3845876,1682324,5528200,18521,10190,0,8331,0,0,18521,17187,9523,0,7664,0,0,17187,1334,667,0,667,0,0,1334,16085,8754,0,7331,15854,8673,0,7181,1243,630,0,613,35
2007-07-01,488379,158507,226.0,28.0,647140.0,55477,1407777,3951418,334980.0,130579.0,5824754.0,230027,3068,200985,54271.0,3618.0,261942.0,332995,988484,207561.0,49049.0,1578089.0,498163,733994,1232157,4044432,1745710,5790142,15112,7253,3,7856,0,0,15112,13764,6932,2,6830,0,0,13764,851,321,1,529,0,0,851,12982,6403,2,6577,12808,6363,2,6443,772,290,1,481,35
2007-08-01,489449,158196,227.0,34.0,647906.0,53490,1377249,3821074,368589.0,159375.0,5726287.0,224711,2941,193060,47431.0,5343.0,248775.0,339454,981003,250232.0,76213.0,1646902.0,493305,774542,1267847,4235739,1803178,6038917,17774,10179,3,7592,0,0,17774,16347,9773,2,6572,0,0,16347,928,406,1,521,0,0,928,15261,8977,2,6282,15096,8936,2,6158,847,376,1,470,35
2007-09-01,539025,161773,215.0,37.0,701050.0,52519,1471123,3631399,398350.0,248259.0,5749131.0,238139,2856,193434,31831.0,15671.0,243792.0,343273,935854,267979.0,142214.0,1689320.0,486534,771424,1257958,4434793,1847916,6282709,23639,15742,1,7896,0,0,23639,22597,15299,1,7297,0,0,22597,1042,443,0,599,0,0,1042,20721,13776,1,6944,20539,13697,1,6841,943,414,0,529,35
2007-10-01,592312,170195,261.0,37.0,762805.0,54442,1613859,3766913,526131.0,249704.0,6156607.0,252035,2795,206548,43259.0,5661.0,258263.0,359920,972855,337725.0,127076.0,1797576.0,517426,820504,1337930,4651630,1889342,6540972,21834,12733,6,9095,0,0,21834,20724,12321,4,8399,0,0,20724,1110,412,2,696,0,0,1110,18733,10682,2,8049,18500,10611,2,7887,1031,393,2,636,35
2007-11-01,551130,160383,242.0,40.0,711795.0,51482,1462087,3560223,437061.0,312551.0,5771922.0,208204,2337,187667,41418.0,9514.0,240936.0,341614,936189,289629.0,122291.0,1689723.0,502250,766863,1269113,4852845,1929063,6781908,20517,11354,4,9159,0,0,20517,19416,10934,2,8480,0,0,19416,1101,420,2,679,0,0,1101,17742,9604,2,8136,17503,9503,2,7998,971,382,2,587,35
2007-12-01,508674,146928,246.0,37.0,655885.0,48448,1331813,3509502,441554.0,362341.0,5645210.0,170891,2145,198108,38187.0,14111.0,252551.0,327715,960096,302382.0,114355.0,1704548.0,489953,797652,1287605,5060073,1974386,7034459,15883,8716,0,7167,0,0,15883,15115,8397,0,6718,0,0,15115,768,319,0,449,0,0,768,14000,7522,0,6478,13872,7483,0,6389,685,292,0,393,35
2008-01-01,570207,163483,246.0,40.0,733976.0,52725,1518563,4014656,447361.0,249026.0,6229606.0,233653,2848,257743,49244.0,12050.0,321885.0,364601,1107512,267451.0,141075.0,1880639.0,653608,781859,1435467,5331787,2024557,7356344,20735,12114,3,8618,0,0,20735,19327,11322,2,8003,0,0,19327,1408,792,1,615,0,0,1408,18034,10367,2,7665,17465,9916,2,7547,1288,766,1,521,40
2008-02-01,564381,164381,242.0,36.0,729040.0,52563,1504345,3811933,521130.0,198639.0,6036047.0,227368,3181,249550,45055.0,5660.0,303446.0,359396,1042558,329279.0,84670.0,1815903.0,570946,792198,1363144,5579465,2080325,7659790,22209,13156,4,9049,0,0,22209,19646,11271,3,8372,0,0,19646,2563,1885,1,677,0,0,2563,19379,11361,1,8017,17714,9820,1,7893,2463,1859,1,603,40
2008-03-01,603386,172167,247.0,40.0,775840.0,55010,1603477,4134580,663343.0,280033.0,6681433.0,222436,3484,251439,59762.0,8132.0,322817.0,382393,1121075,374145.0,130032.0,2007645.0,610580,902509,1513089,5858099,2124508,7982607,21186,11011,2,10173,0,0,21186,20110,10616,2,9492,0,0,20110,1076,395,0,681,0,0,1076,18561,9453,2,9106,18395,9412,2,8981,940,350,0,590,40
2008-04-01,588878,169052,266.0,38.0,758234.0,53834,1569310,3994541,431536.0,220073.0,6215460.0,216816,3482,251115,35995.0,4059.0,294651.0,376690,1103185,284523.0,113614.0,1878012.0,623713,816913,1440626,6112220,2165038,8277258,22814,13529,3,9282,0,0,22814,21823,13137,1,8685,0,0,21823,991,392,2,597,0,0,991,20321,11940,1,8380,20168,11905,1,8262,911,371,1,539,40
